symbol,stock_name,industry,sub_industry,benchmark
JUBILANT,Jubilant Life Sciences Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
JUBLFOOD,Jubilant Foodworks Limited,CONSUMER GOODS,MISCELLANEOUS,NIFTY CONSUMPTION
JUBLINDS,Jubilant Industries Limited,,,
JUNIORBEES,,,,
JUSTDIAL,Just Dial Limited,IT,MISCELLANEOUS,NIFTY IT
JVLAGRO,JVL Agro Industries Limited,,,
JYOTHYLAB,Jyothy Laboratories Limited,CONSUMER GOODS,PERSONAL CARE,NIFTY FMCG
JYOTISTRUC,Jyoti Structures Limited,,,
KABRAEXTRU,Kabra Extrusion Technik Limited,,,
KAJARIACER,Kajaria Ceramics Limited,CONSTRUCTION,CERAMICS & GRANITE,NIFTY CONSUMPTION
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,CONSUMER GOODS,SUGAR,NIFTY CONSUMPTION
KALPATPOWR,Kalpataru Power Transmission Limited,ENERGY,POWER - TRANSMISSION & EQUIPMENT,NIFTY ENERGY
KALYANIFRG,Kalyani Forge Limited,,,
KAMATHOTEL,Kamat Hotels (I) Limited,SERVICES,HOTELS,
KAMDHENU,Kamdhenu Limited,,,
KANANIIND,Kanani Industries Limited,,,
KANORICHEM,Kanoria Chemicals & Industries Limited,CHEMICALS,CHEMICALS,
KANSAINER,Kansai Nerolac Paints Limited,CONSUMER GOODS,PAINTS & VARNISHES,NIFTY CONSUMPTION
KAPSTON,,,,
KARDA,,,,
KARMAENG,Karma Energy Limited,,,
KARURVYSYA,Karur Vysya Bank Limited,FINANCIAL SERVICES,BANKS - PRIVATE SECTOR,NIFTY BANK
KAUSHALYA,,,,
KAVVERITEL,Kavveri Telecom Products Limited,,,
KAYA,Kaya Limited,,,
KCP,KCP Limited,,,
KCPSUGIND,KCP Sugar and Industries Corporation Limited,CONSUMER GOODS,SUGAR,NIFTY CONSUMPTION
KDDL,KDDL Limited,,,
KEC,KEC International Limited,CONSTRUCTION,POWER - TRANSMISSION & EQUIPMENT,NIFTY INFRA
KECL,Kirloskar Electric Company Limited,,,
KEERTI,,,,
KEI,KEI Industries Limited,,,
KELLTONTEC,Kellton Tech Solutions Limited,,,
KERNEX,Kernex Microsystems (India) Limited,,,
KESARENT,Kesar Enterprises Limited,,,
KESORAMIND,Kesoram Industries Limited,CEMENT & CEMENT PRODUCTS,DIVERSIFIED,
KEYCORPSER,Keynote Corporate Services Limited,,,
KGL,Karuturi Global Limited,,,
KHADIM,,,,
KHAITANELE,Khaitan Electricals Limited,,,
KHAITANLTD,Khaitan (India) Limited,,,
KHANDSE,Khandwala Securities Limited,,,
KICL,Kalyani Investment Company Limited,,,
KILITCH,Kilitch Drugs (India) Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
KINGFA,Kingfa Science & Technology (India) Limited,,PLASTICS,
KIOCL,KIOCL Limited,METALS,,NIFTY METAL
KIRIINDUS,Kiri Industries Limited,,,
KIRLOSBROS,Kirloskar Brothers Limited,,,
KIRLOSENG,Kirloskar Oil Engines Limited,INDUSTRIAL MANUFACTURING,ENGINES,
KIRLOSIND,Kirloskar Industries Limited,,,
KITEX,Kitex Garments Limited,TEXTILES,TEXTILES - READYMADE APPARELS,
KKCL,Kewal Kiran Clothing Limited,TEXTILES,TEXTILES - GENERAL,
KMSUGAR,K.M.Sugar Mills Limited,CONSUMER GOODS,SUGAR,NIFTY CONSUMPTION
KNRCON,KNR Constructions Limited,CONSTRUCTION,CONSTRUCTION & CONTRACTING - CIVIL,NIFTY REALTY
KOHINOOR,Kohinoor Foods Limited,CONSUMER GOODS,FOOD PROCESSING,NIFTY CONSUMPTION
KOKUYOCMLN,Kokuyo Camlin Limited,,,
KOLTEPATIL,Kolte - Patil Developers Limited,CONSTRUCTION,,NIFTY INFRA
KOPRAN,Kopran Limited,,,
KOTAKBANK,Kotak Mahindra Bank Limited,FINANCIAL SERVICES,BANKS - PRIVATE SECTOR,NIFTY BANK
KOTAKBKETF,,,,
KOTAKGOLD,,,,
KOTAKNIFTY,,,,
KOTAKNV20,,,,
KOTAKPSUBK,,,,
KOTARISUG,Kothari Sugars And Chemicals Limited,CONSUMER GOODS,SUGAR,NIFTY CONSUMPTION
KOTHARIPET,Kothari Petrochemicals Limited,CHEMICALS,CHEMICALS,
KOTHARIPRO,Kothari Products Limited,,,
KPIT,KPIT Technologies Limited,IT,COMPUTERS - SOFTWARE MEDIUM & SMALL,NIFTY IT
KPRMILL,K.P.R. Mill Limited,TEXTILES,TEXTILES - READYMADE APPARELS,
KRBL,KRBL Limited,CONSUMER GOODS,FOOD PROCESSING,NIFTY CONSUMPTION
KREBSBIO,Krebs Biochemicals and Industries Limited,CHEMICALS,CHEMICALS,
KRIDHANINF,Kridhan Infra Limited,CONSTRUCTION,,NIFTY INFRA
KSBPUMPS,KSB Pumps Limited,,,
KSCL,Kaveri Seed Company Limited,CONSUMER GOODS,MISCELLANEOUS,NIFTY CONSUMPTION
KSERASERA,KSS Limited,,,
KSK,KSK Energy Ventures Limited,,,
KSL,Kalyani Steels Limited,METALS,,NIFTY METAL
KTIL,Kesar Terminals & Infrastructure Limited,CONSTRUCTION,,NIFTY INFRA
KTKBANK,The Karnataka Bank Limited,FINANCIAL SERVICES,BANKS - PRIVATE SECTOR,NIFTY BANK
KWALITY,kwality limited,CONSUMER GOODS,FOOD PROCESSING,NIFTY CONSUMPTION
L&TFH,L&T Finance Holdings Limited,FINANCIAL SERVICES,FINANCE - LEASING & HIRE PURCHASE,NIFTY BANK
L&TFINANCE,,,,
L&TINFRA,,,,
LAKPRE,Lakshmi Precision Screws Limited,,,
LAKSHMIEFL,Lakshmi Energy and Foods Limited,CONSUMER GOODS,FOOD PROCESSING,NIFTY CONSUMPTION
LAKSHVILAS,Lakshmi Vilas Bank Limited,FINANCIAL SERVICES,BANKS - PRIVATE SECTOR,NIFTY BANK
LALPATHLAB,Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,PHARMACEUTICALS,NIFTY HEALTHCARE
LAMBODHARA,Lambodhara Textiles Limited,TEXTILES,TEXTILES - SPINNING - COTTON BLENDED,
LAOPALA,La Opala RG Limited,AUTOMOBILE,GLASS & GLASS PRODUCTS,NIFTY AUTO
LASA,Lasa Supergenerics Limited,,,
LAURUSLABS,Laurus Labs Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
LAXMICOT,,,,
LAXMIMACH,Lakshmi Machine Works Limited,INDUSTRIAL MANUFACTURING,TEXTILES - MACHINERY,
LEEL,LEEL Electricals Limited,,,
LEMONTREE,,,,
LEXUS,,,,
LFIC,Lakshmi Finance & Industrial Corporation Limited,FINANCIAL SERVICES,FINANCE - LEASING & HIRE PURCHASE,NIFTY BANK
LGBBROSLTD,LG Balakrishnan & Bros Limited,,,
LGBFORGE,,,,
LIBAS,,,,
LIBERTSHOE,Liberty Shoes Limited,,,
LICHSGFIN,LIC Housing Finance Limited,FINANCIAL SERVICES,FINANCE - HOUSING,NIFTY BANK
LICNETFGSC,,,,
LICNETFN50,,,,
LICNETFSEN,,,,
LICNFNHGP,,,,
LINCOLN,Lincoln Pharmaceuticals Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
LINCPEN,Linc Pen & Plastics Limited,,,
LINDEINDIA,Linde India Limited,CHEMICALS,CHEMICALS,
LIQUIDBEES,,,,
LIQUIDETF,,,,
LITL,Lanco Infratech Limited,CONSTRUCTION,INFRASTRUCTURE - GENERAL,NIFTY INFRA
LOKESHMACH,Lokesh Machines Limited,,,
LOTUSEYE,Lotus Eye Care Hospital Limited,,,
LOVABLE,Lovable Lingerie Limited,,,
LPDC,Landmark Property Development Company Limited,,,
LSIL,Lloyds Steels Industries Limited,METALS,,NIFTY METAL
LT,Larsen & Toubro Limited,CONSTRUCTION,INFRASTRUCTURE - GENERAL,NIFTY INFRA
LTI,Larsen & Toubro Infotech Limited,IT,COMPUTERS - SOFTWARE,NIFTY IT
LTTS,L&T Technology Services Limited,IT,COMPUTERS - SOFTWARE MEDIUM & SMALL,NIFTY IT
LUMAXIND,Lumax Industries Limited,,,
LUMAXTECH,Lumax Auto Technologies Limited,AUTOMOBILE,AUTO ANCILLARIES,NIFTY AUTO
LUPIN,Lupin Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
LUXIND,Lux Industries Limited,,,
LYCOS,Lycos Internet Limited,,,
LYKALABS,Lyka Labs Limited,,,
LYPSAGEMS,Lypsa Gems & Jewellery Limited,,,
M&M,Mahindra & Mahindra Limited,AUTOMOBILE,,NIFTY AUTO
M&MFIN,Mahindra & Mahindra Financial Services Limited,FINANCIAL SERVICES,,NIFTY BANK
M100,,,,
M14RG,,,,
M50,,,,
MAANALU,Maan Aluminium Limited,,,
MACPOWER,,,,
MADHAV,Madhav Marbles and Granites Limited,,,
MADHUCON,Madhucon Projects Limited,,,
MADRASFERT,Madras Fertilizers Limited,FERTILISERS & PESTICIDES,FERTILISERS,
MAGADSUGAR,Magadh Sugar & Energy Limited,CONSUMER GOODS,SUGAR,NIFTY CONSUMPTION
MAGMA,Magma Fincorp Limited,FINANCIAL SERVICES,FINANCE - LEASING & HIRE PURCHASE,NIFTY BANK
MAGNUM,Magnum Ventures Limited,,,
MAHABANK,Bank of Maharashtra,FINANCIAL SERVICES,BANKS - PUBLIC SECTOR,NIFTY BANK
MAHAPEXLTD,,,,
MAHASTEEL,Mahamaya Steel Industries Limited,METALS,,NIFTY METAL
MAHESHWARI,,,,
MAHICKRA,,,,
MAHINDCIE,Mahindra CIE Automotive Limited,INDUSTRIAL MANUFACTURING,CASTINGS & FORGINGS,
MAHLIFE,Mahindra Lifespace Developers Limited,CONSTRUCTION,CONSTRUCTION & CONTRACTING - CIVIL,NIFTY REALTY
MAHLOG,,,,
MAHSCOOTER,Maharashtra Scooters Limited,,,
MAHSEAMLES,Maharashtra Seamless Limited,,,
MAITHANALL,Maithan Alloys Limited,,,
MAJESCO,Majesco Limited,,,
MALUPAPER,Malu Paper Mills Limited,,,
MANAKALUCO,Manaksia Aluminium Company Limited,,,
MANAKCOAT,Manaksia Coated Metals & Industries Limited,METALS,,NIFTY METAL
MANAKSIA,Manaksia Limited,,,
MANAKSTEEL,Manaksia Steels Limited,METALS,,NIFTY METAL
MANALIPETC,Manali Petrochemicals Limited,CHEMICALS,CHEMICALS,
MANAPPURAM,Manappuram Finance Limited,FINANCIAL SERVICES,FINANCE - LEASING & HIRE PURCHASE,NIFTY BANK
MANDHANA,Mandhana Industries Limited,,,
MANGALAM,Mangalam Drugs And Organics Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,FERTILISERS & PESTICIDES,FERTILISERS,
MANGLMCEM,Mangalam Cement Limited,,,
MANGTIMBER,Mangalam Timber Products Limited,,,
MANINDS,Man Industries (India) Limited,,,
MANINFRA,Man Infraconstruction Limited,CONSTRUCTION,CONSTRUCTION & CONTRACTING - CIVIL,NIFTY REALTY
MANPASAND,Manpasand Beverages Limited,CONSUMER GOODS,FOOD PROCESSING,NIFTY CONSUMPTION
MANUGRAPH,Manugraph India Limited,,,
MARALOVER,Maral Overseas Limited,,,
MARATHON,Marathon Nextgen Realty Limited,,,
MARICO,Marico Limited,CONSUMER GOODS,PERSONAL CARE,NIFTY FMCG
MARKSANS,Marksans Pharma Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
MARUTI,Maruti Suzuki India Limited,AUTOMOBILE,AUTO - CARS & JEEPS,NIFTY AUTO
MASFIN,MAS Financial Services Ltd.,FINANCIAL SERVICES,FINANCE - GENERAL,NIFTY BANK
MASTEK,Mastek Limited,,,
MATRIMONY,Matrimony.Com Limited,,,
MAWANASUG,Mawana Sugars Limited,CONSUMER GOODS,SUGAR,NIFTY CONSUMPTION
MAXINDIA,Max India Limited,HEALTHCARE SERVICES,MISCELLANEOUS,NIFTY HEALTHCARE
MAXVIL,Max Ventures and Industries Limited,,,
MAYURUNIQ,Mayur Uniquoters Ltd,,,
MAZDA,Mazda Limited,,,
MBECL,Mcnally Bharat Engineering Company Limited,INDUSTRIAL MANUFACTURING,,
MBLINFRA,MBL Infrastructures Limited,CONSTRUCTION,,NIFTY INFRA
MCDHOLDING,McDowell Holdings Limited,,,
MCDOWELL-N,United Spirits Limited,CONSUMER GOODS,,NIFTY CONSUMPTION
MCL,,,,
MCLEODRUSS,Mcleod Russel India Limited,CONSUMER GOODS,PLANTATIONS - TEA & COFFEE,NIFTY CONSUMPTION
MCX,Multi Commodity Exchange of India Limited,FINANCIAL SERVICES,MISCELLANEOUS,NIFTY BANK
MEGASOFT,Megasoft Limited,,,
MEGH,Meghmani Organics Limited,,,
MENONBE,Menon Bearings Limited,,,
MEP,MEP Infrastructure Developers Limited,CONSTRUCTION,,NIFTY INFRA
MERCATOR,Mercator Limited,,,
MERCK,Merck Limited,PHARMA,,NIFTY PHARMA
METALFORGE,Metalyst Forgings Limited,METALS,,NIFTY METAL
METKORE,Metkore Alloys & Industries Limited,,,
MFSL,Max Financial Services Limited,FINANCIAL SERVICES,FINANCE - INVESTMENTS,NIFTY BANK
MGL,Mahanagar Gas Limited,ENERGY,REFINERIES,NIFTY ENERGY
MHHL,,,,
MHRIL,Mahindra Holidays & Resorts India Limited,SERVICES,HOTELS,
MIC,MIC Electronics Limited,,,
MIDHANI,,,,
MINDACORP,Minda Corporation Limited,AUTOMOBILE,,NIFTY AUTO
MINDAIND,Minda Industries Limited,AUTOMOBILE,AUTO ANCILLARIES,NIFTY AUTO
MINDTECK,Mindteck (India) Limited,,,
MINDTREE,MindTree Limited,IT,COMPUTERS - SOFTWARE,NIFTY IT
MIRCELECTR,MIRC Electronics Limited,,,
MIRZAINT,Mirza International Limited,,,
MITCON,,,,
MITTAL,,,,
MKPL,,,,
MMFL,MM Forgings Limited,,,
MMP,,,,
MMTC,MMTC Limited,SERVICES,TRADING,
MOHITIND,Mohit Industries Limited,,,
MOHOTAIND,,,,
MOIL,MOIL Limited,METALS,MINING & MINERALS,NIFTY METAL
MOKSH,,,,
MOLDTECH,Mold-Tek Technologies Limited,,PACKAGING,
MOLDTKPAC,Mold-Tek Packaging Limited,,,
MONNETISPA,Monnet Ispat and Energy Limited,,,
MONSANTO,Monsanto India Limited,FERTILISERS & PESTICIDES,PESTICIDES & AGRO CHEMICALS,
MONTECARLO,Monte Carlo Fashions Limited,TEXTILES,TEXTILES - READYMADE APPARELS,
MORARJEE,Morarjee Textiles Limited,TEXTILES,TEXTILES - SPINNING - COTTON BLENDED,
MOREPENLAB,Morepen Laboratories Limited,,,
MOSERBAER,Moser-Baer (I) Limited,,,
MOTHERSUMI,Motherson Sumi Systems Limited,AUTOMOBILE,AUTO ANCILLARIES,NIFTY AUTO
MOTILALOFS,Motilal Oswal Financial Services Limited,FINANCIAL SERVICES,FINANCE - GENERAL,NIFTY BANK
MOTOGENFIN,The Motor & General Finance Limited,FINANCIAL SERVICES,FINANCE - LEASING & HIRE PURCHASE,NIFTY BANK
MPHASIS,MphasiS Limited,IT,COMPUTERS - SOFTWARE,NIFTY IT
MPSLTD,MPS Limited,,,
MPTODAY,,,,
MRF,MRF Limited,AUTOMOBILE,TYRES,NIFTY AUTO
MRO-TEK,MRO-TEK Realty Limited,,,
MRPL,Mangalore Refinery and Petrochemicals Limited,ENERGY,REFINERIES,NIFTY ENERGY
MSPL,MSP Steel & Power Limited,METALS,,NIFTY METAL
MTEDUCARE,MT Educare Limited,,,
MTNL,Mahanagar Telephone Nigam Limited,TELECOM,TELECOMMUNICATIONS - SERVICE,
MUKANDENGG,Mukand Engineers Limited,INDUSTRIAL MANUFACTURING,,
MUKANDLTD,Mukand Limited,,,
MUKTAARTS,Mukta Arts Limited,,,
MUNJALAU,Munjal Auto Industries Limited,AUTOMOBILE,AUTO ANCILLARIES,NIFTY AUTO
MUNJALSHOW,Munjal Showa Limited,,,
MURUDCERA,Murudeshwar Ceramics Limited,,,
MUTHOOTCAP,Muthoot Capital Services Limited,,,
MUTHOOTFIN,Muthoot Finance Limited,FINANCIAL SERVICES,FINANCE - INVESTMENTS,NIFTY BANK
MVL,,,,
N100,,,,
NABARD,,,,
NACLIND,,,,
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,FERTILISERS & PESTICIDES,FERTILISERS,
NAGAROIL,Nagarjuna Oil Refinery Limited,,,
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,CONSTRUCTION,,NIFTY INFRA
NAGREEKEXP,Nagreeka Exports Limited,,,
NAHARCAP,Nahar Capital and Financial Services Limited,,,
NAHARINDUS,Nahar Industrial Enterprises Limited,,,
NAHARPOLY,Nahar Poly Films Limited,,,
NAHARSPING,Nahar Spinning Mills Limited,,,
NAKODA,Nakoda Limited,,,
NATCOPHARM,Natco Pharma Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
NATHBIOGEN,Nath Bio-Genes (India) Limited,,,
NATIONALUM,National Aluminium Company Limited,METALS,ALUMINIUM,NIFTY METAL
NATNLSTEEL,National Steel And Agro Industries Limited,METALS,,NIFTY METAL
NAUKRI,Info Edge (India) Limited,IT,MISCELLANEOUS,NIFTY IT
NAVINFLUOR,Navin Fluorine International Limited,CHEMICALS,CHEMICALS,
NAVKARCORP,Navkar Corporation Limited,SERVICES,TRANSPORT & LOGISTICS,
NAVNETEDUL,Navneet Education Limited,#N/A,PRINTING & STATIONERY,
NBCC,NBCC (India) Limited,CONSTRUCTION,INFRASTRUCTURE - GENERAL,NIFTY INFRA
NBIFIN,N. B. I. Industrial Finance Company Limited,FINANCIAL SERVICES,FINANCE - LEASING & HIRE PURCHASE,NIFTY BANK
NBVENTURES,Nava Bharat Ventures Limited,ENERGY,DIVERSIFIED,NIFTY ENERGY
NCC,NCC Limited,CONSTRUCTION,CONSTRUCTION & CONTRACTING - CIVIL,NIFTY REALTY
NCLIND,NCL Industries Limited,,,
NDGL,Naga Dhunseri Group Limited,,,
NDL,Nandan Denim Limited,TEXTILES,TEXTILES - DENIM,
NDTV,New Delhi Television Limited,,,
NECCLTD,North Eastern Carrying Corporation Limited,,,
NECLIFE,Nectar Lifesciences Limited,,,
NELCAST,Nelcast Limited,,,
NELCO,NELCO Limited,,,
NESCO,Nesco Limited,SERVICES,,
NESTLEIND,Nestle India Limited,CONSUMER GOODS,FOOD PROCESSING,NIFTY CONSUMPTION
NETWORK18,Network18 Media & Investments Limited,MEDIA & ENTERTAINMENT,FINANCE - GENERAL,
NEULANDLAB,Neuland Laboratories Limited,,,
NEWGEN,,,,
NEXTMEDIA,Next Mediaworks Limited,,,
NFL,National Fertilizers Limited,FERTILISERS & PESTICIDES,,
NH,Narayana Hrudayalaya Ltd.,HEALTHCARE SERVICES,HOSPITALS & MEDICAL SERVICES,NIFTY HEALTHCARE
NHAI,,,,
NHBTF2014,,,,
NHBTF2023,,,,
NHPC,NHPC Limited,ENERGY,POWER - GENERATION & DISTRIBUTION,NIFTY ENERGY
NIACL,,,,
NIBL,NRB Industrial Bearings Limited,,,
NIFTYBEES,,,,
NIFTYEES,,,,
NIITLTD,NIIT Limited,IT,COMPUTERS - SOFTWARE - TRAINING,NIFTY IT
NIITTECH,NIIT Technologies Limited,IT,COMPUTERS - SOFTWARE,NIFTY IT
NILAINFRA,Nila Infrastructures Limited,CONSTRUCTION,,NIFTY INFRA
NILKAMAL,Nilkamal Limited,INDUSTRIAL MANUFACTURING,PLASTICS,
NIPPOBATRY,Indo-National Limited,,,
NITCO,Nitco Limited,,,
NITESHEST,Nitesh Estates Limited,,,
NITINFIRE,Nitin Fire Protection Industries Limited,,,
NITINSPIN,Nitin Spinners Limited,,,
NITIRAJ,,,,
NKIND,NK Industries Limited,,,
NLCINDIA,NLC India Limited,ENERGY,POWER - GENERATION & DISTRIBUTION,NIFTY ENERGY
NMDC,NMDC Limited,METALS,MINING & MINERALS,NIFTY METAL
NOCIL,NOCIL Limited,,,
NOIDATOLL,Noida Toll Bridge Company Limited,,,
NORBTEAEXP,Norben Tea & Exports Limited,,,
NRAIL,N R Agarwal Industries Limited,,,
NRBBEARING,NRB Bearing Limited,,,
NSIL,Nalwa Sons Investments Limited,,,
NTL,Neueon Towers Limited,,,
NTPC,NTPC Limited,ENERGY,POWER - GENERATION & DISTRIBUTION,NIFTY ENERGY
NUCLEUS,Nucleus Software Exports Limited,IT,,NIFTY IT
NUTEK,,,,
OBEROIRLTY,Oberoi Realty Limited,CONSTRUCTION,CONSTRUCTION & CONTRACTING - REAL ESTATE,NIFTY REALTY
OCCL,Oriental Carbon & Chemicals Limited,CHEMICALS,CHEMICALS,
OCL,OCL India Limited,CEMENT & CEMENT PRODUCTS,CEMENT - MAJOR,
OFSS,Oracle Financial Services Software Limited,IT,COMPUTERS - SOFTWARE,NIFTY IT
OIL,Oil India Limited,ENERGY,OIL DRILLING AND EXPLORATION,NIFTY ENERGY
OILCOUNTUB,Oil Country Tubular Limited,,,
OISL,OCL Iron and Steel Limited,METALS,,NIFTY METAL
OMAXAUTO,Omax Autos Limited,AUTOMOBILE,AUTO ANCILLARIES,NIFTY AUTO
OMAXE,Omaxe Limited,CONSTRUCTION,CONSTRUCTION & CONTRACTING - REAL ESTATE,NIFTY REALTY
OMKARCHEM,Omkar Speciality Chemicals Limited,CHEMICALS,CHEMICALS,
OMMETALS,OM Metals Infraprojects Limited,CONSTRUCTION,,NIFTY INFRA
ONELIFECAP,Onelife Capital Advisors Limited,,,
ONEPOINT,,,,
ONGC,Oil & Natural Gas Corporation Limited,ENERGY,OIL DRILLING AND EXPLORATION,NIFTY ENERGY
ONMOBILE,OnMobile Global Limited,,,
ONWARDTEC,Onward Technologies Limited,,,
OPTIEMUS,Optiemus Infracom Limited,FINANCIAL SERVICES,FINANCE - LEASING & HIRE PURCHASE,NIFTY BANK
OPTOCIRCUI,Opto Circuits (India) Limited,,,
ORBTEXP,Orbit Exports Limited,,,
ORCHIDPHAR,Orchid Pharma Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
ORICONENT,Oricon Enterprises Limited,,,
ORIENTABRA,Orient Abrasives Limited,,,
ORIENTALTL,Oriental Trimex Limited,,,
ORIENTBANK,Oriental Bank of Commerce,FINANCIAL SERVICES,BANKS - PUBLIC SECTOR,NIFTY BANK
ORIENTBELL,Orient Bell Limited,,,
ORIENTCEM,Orient Cement Limited,CEMENT & CEMENT PRODUCTS,CEMENT - MAJOR,
ORIENTELEC,,,,
ORIENTHOT,Oriental Hotels Limited,SERVICES,HOTELS,
ORIENTLTD,Orient Press Limited,,,
ORIENTPPR,Orient Paper & Industries Limited,,,
ORIENTREF,Orient Refractories Limited,,,
ORISSAMINE,The Orissa Minerals Development Company Limited,,,
ORTEL,Ortel Communications Limited,,,
ORTINLABSS,Ortin Laboratories Limited,,,
OSWALAGRO,,,,
OSWALSEEDS,,,,
PAGEIND,Page Industries Limited,TEXTILES,TEXTILES - READYMADE APPARELS,
PAISALO,,,,
PALASHSECU,Palash Securities Limited,,,
PALREDTEC,Palred Technologies Limited,,,
PANACEABIO,Panacea Biotec Limited,,,
PANAMAPET,Panama Petrochem Limited,,,
PANORAMUNI,Panoramic Universal Limited,,,
PAPERPROD,Huhtamaki PPL Limited,,,
PARABDRUGS,Parabolic Drugs Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
PARACABLES,Paramount Communications Limited,,,
PARAGMILK,Parag Milk Foods Limited,CONSUMER GOODS,FOOD PROCESSING,NIFTY CONSUMPTION
PARSVNATH,Parsvnath Developers Limited,,,
PATELENG,Patel Engineering Limited,INDUSTRIAL MANUFACTURING,,
PATINTLOG,Patel Integrated Logistics Limited,SERVICES,TRANSPORT & LOGISTICS,
PATSPINLTD,Patspin India Limited,,,
PBAINFRA,PBA Infrastructure Limited,CONSTRUCTION,,NIFTY INFRA
PCJEWELLER,PC Jeweller Limited,CONSUMER GOODS,DIAMOND CUTTING & JEWELLERY & PRECIOUS METALS,NIFTY CONSUMPTION
PDMJEPAPER,Pudumjee Paper Products Limited,,,
PDPL,Parenteral Drugs (India) Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
PDSMFL,PDS Multinational Fashions Limited,TEXTILES,TEXTILES - READYMADE APPARELS,
PEARLPOLY,Pearl Polymers Limited,,,
PEL,Piramal Enterprises Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
PENIND,Pennar Industries Limited,,,
PENINLAND,Peninsula Land Limited,,,
PENPEBS,Pennar Engineered Building Systems Limited,INDUSTRIAL MANUFACTURING,,
PERFECT,,,,
PERSISTENT,Persistent Systems Limited,IT,COMPUTERS - SOFTWARE,NIFTY IT
PETRONENGG,Petron Engineering Construction Limited,INDUSTRIAL MANUFACTURING,,
PETRONET,Petronet LNG Limited,ENERGY,OIL DRILLING AND EXPLORATION,NIFTY ENERGY
PFC,Power Finance Corporation Limited,FINANCIAL SERVICES,FINANCE - TERM LENDING INSTITUTIONS,NIFTY BANK
PFIZER,Pfizer Limited,PHARMA,PHARMACEUTICALS,NIFTY PHARMA
PFOCUS,Prime Focus Limited,,,
PFS,PTC India Financial Services Limited,FINANCIAL SERVICES,FINANCE - TERM LENDING INSTITUTIONS,NIFTY BANK
PGEL,PG Electroplast Limited,,,
PGHH,Procter & Gamble Hygiene and Health Care Limited,CONSUMER GOODS,PERSONAL CARE,NIFTY FMCG
PGIL,Pearl Global Industries Limited,,,
PHILIPCARB,Phillips Carbon Black Limited,,,
PHOENIXLTD,The Phoenix Mills Limited,CONSTRUCTION,CONSTRUCTION & CONTRACTING - REAL ESTATE,NIFTY REALTY
PIDILITIND,Pidilite Industries Limited,CHEMICALS,CHEMICALS,
PIGL,,,,
PIIND,PI Industries Limited,FERTILISERS & PESTICIDES,PESTICIDES & AGRO CHEMICALS,
PILANIINVS,Pilani Investment and Industries Corporation Limited,,,
PILITA,PIL ITALICA LIFESTYLE LIMITED,,,
PIONDIST,Pioneer Distilleries Limited,,,
PIONEEREMB,Pioneer Embroideries Limited,,,
PIRPHYTO,,,,
PITTIENG,,,,
PKTEA,The Peria Karamalai Tea & Produce Company Limited,,,
PLASTIBLEN,Plastiblends India Limited,,,
PNB,Punjab National Bank,FINANCIAL SERVICES,BANKS - PUBLIC SECTOR,NIFTY BANK
PNBGILTS,PNB Gilts Limited,,,
PNBHOUSING,PNB Housing Finance Limited,FINANCIAL SERVICES,FINANCE - HOUSING,NIFTY BANK
PNC,Pritish Nandy Communications Limited,,,
PNCINFRA,PNC Infratech Limited,CONSTRUCTION,CONSTRUCTION & CONTRACTING - REAL ESTATE,NIFTY REALTY
POCHIRAJU,Pochiraju Industries Limited,,,
PODDARHOUS,Poddar Housing and Development Limited,,,
PODDARMENT,Poddar Pigments Limited,,,
POKARNA,Pokarna Limited,,,
POLARIS,POLARIS CONSULTING & SERVICES LIMITED,IT,COMPUTERS - SOFTWARE,NIFTY IT
POLYMED,Poly Medicure Limited,,,
POLYPLEX,Polyplex Corporation Limited,,,
PONNIERODE,Ponni Sugars (Erode) Limited,CONSUMER GOODS,SUGAR,NIFTY CONSUMPTION
POWERGRID,Power Grid Corporation of India Limited,ENERGY,POWER - GENERATION & DISTRIBUTION,NIFTY ENERGY
POWERMECH,Power Mech Projects Limited,,,
PPAP,PPAP Automotive Limited,AUTOMOBILE,AUTO ANCILLARIES,NIFTY AUTO
PRABHAT,Prabhat Dairy Limited,,,
PRADIP,Pradip Overseas Limited,,,
PRAENG,Prajay Engineers Syndicate Limited,INDUSTRIAL MANUFACTURING,,
PRAJIND,Praj Industries Limited,INDUSTRIAL MANUFACTURING,ENGINEERING - HEAVY,
PRAKASH,Prakash Industries Limited,,,
PRAKASHCON,Prakash Constrowell Limited,,,
PRATIBHA,Pratibha Industries Limited,,,
