symbol,name,facev,marketcap_cr,vwap,outshares,dividend,exdate,recorddate
KOTHARIPRO,Kothari Products Limited,10.00,52.26,117.33,4454103.809767323,ANNUAL GENERAL MEETING\/DIVIDEND- RS 1.50 PER SHARE,14-SEP-18,-
KPIT,KPIT Technologies Limited,2.00,4467.17,291.77,153105871.06282347,ANNUAL GENERAL MEETING\/DIVIDEND- RS 2.40 PER SHARE,20-AUG-18,22-AUG-18
KPRMILL,K.P.R. Mill Limited,5.00,1255.40,680.72,18442237.630743917,ANNUAL GENERAL MEETING\/DIVIDEND RE 0.75 PER SHARE,20-AUG-18,-
KRBL,KRBL Limited,1.00,2273.28,376.57,60368059.059404634,ANNUAL GENERAL MEETING\/DIVIDEND- RS 2.30 PER SHARE,06-AUG-18,-
KREBSBIO,Krebs Biochemicals and Industries Limited,10.00,43.74,108.98,4013580.473481373,ANNUAL GENERAL MEETING,14-SEP-17,-
KRIDHANINF,Kridhan Infra Limited,2.00,311.99,73.46,42470732.37135857,ANNUAL GENERAL MEETING\/ DIVIDEND- RE 0.20 PER SHARE,20-SEP-17,-
KSBPUMPS,KSB Pumps Limited,10.00,805.16,766.29,10507249.213744143,ANNUAL GENERAL MEETING\/ DIVIDEND - RS 6 PER SHARE,12-APR-18,-
KSCL,Kaveri Seed Company Limited,2.00,1880.85,628.96,29904127.448486388,ANNUAL GENERAL MEETING,17-SEP-18,-
KSERASERA,KSS Limited,1.00,51.98,0.23,2259999999.9999995,ANNUAL GENERAL MEETING,20-SEP-17,-
KSK,KSK Energy Ventures Limited,10.00,33.24,1.60,207750000.0,ANNUAL GENERAL MEETING,15-SEP-16,-
KSL,Kalyani Steels Limited,5.00,414.51,270.07,15348243.048098642,ANNUAL GENERAL MEETING\/DIVIDEND- RS 5 PER SHARE,10-AUG-18,-
KTIL,Kesar Terminals & Infrastructure Limited,5.00,40.84,91.52,4462412.587412588,ANNUAL GENERAL MEETING\/DIVIDEND RE 1 PER SHARE,18-SEP-18,-
KTKBANK,The Karnataka Bank Limited,10.00,3518.27,123.23,285504341.4752901,ANNUAL GENERAL MEETING \/ DIVIDEND- RS 3 PER SHARE,11-JUL-18,-
KWALITY,kwality limited,1.00,278.04,25.60,108609375.0,ANNUAL GENERAL MEETING\/DIVIDEND - RE 0.10 PER SHARE,21-SEP-17,-
LAKPRE,Lakshmi Precision Screws Limited,10.00,4.84,14.88,3252688.1720430106,ANNUAL GENERAL MEETING,20-SEP-17,-
LAKSHMIEFL,Lakshmi Energy and Foods Limited,2.00,36.37,11.39,31931518.876207195,ANNUAL GENERAL MEETING,14-SEP-17,-
LAKSHVILAS,Lakshmi Vilas Bank Limited,10.00,2290.04,98.50,232491370.55837563,RIGHTS 1:3 @ PREMIUM RS 112\/-,05-DEC-17,06-DEC-17
LALPATHLAB,Dr. Lal Path Labs Ltd.,10.00,2697.14,1039.81,25938777.276617847,ANNUAL GENERAL MEETING \/ DIVIDEND- RS 3 PER SHARE,03-AUG-18,-
LAMBODHARA,Lambodhara Textiles Limited,5.00,15.48,50.78,3048444.269397401,ANNUAL GENERAL MEETING\/DIVIDEND - RE 1\/- PER SHARE,14-SEP-17,-
LAOPALA,La Opala RG Limited,2.00,971.25,250.77,38730709.415001795,DIVIDEND- RS 1.10 PER SHARE,02-AUG-18,-
LASA,Lasa Supergenerics Limited,10.00,37.16,30.42,12215647.600262983,-,-,-
LAURUSLABS,Laurus Labs Limited,10.00,1823.58,447.59,40742197.10002458,ANNUAL GENERAL MEETING \/ DIVIDEND- RS 1.50 PER SHARE,28-JUN-18,-
LAXMIMACH,Lakshmi Machine Works Limited,10.00,5178.55,7274.52,7118751.477760732,ANNUAL GENERAL MEETING\/DIVIDEND- RS 40 PER SHARE,13-JUL-18,-
LEEL,LEEL Electricals Limited,10.00,164.68,92.69,17766749.37965261,ANNUAL GENERAL MEETING\/DIVIDEND - RS 1.50 PER SHARE,18-SEP-17,-
LEMONTREE,Lemon Tree Hotels Limited,10.00,1118.28,78.86,141805731.67638853,-,-,-
LFIC,Lakshmi Finance & Industrial Corporation Limited,10.00,12.16,77.47,1569639.8605911965,ANNUAL GENERAL MEETING\/DIVIDEND- RS 4 PER SHARE,02-AUG-18,-
LGBBROSLTD,LG Balakrishnan & Bros Limited,10.00,837.24,533.65,15688934.69502483,ANNUAL GENERAL MEETING\/DIVIDEND- RS 4.50 PER SHARE,21-AUG-18,-
LGBFORGE,LGB Forge Limited,1.00,17.28,3.20,54000000.0,ANNUAL GENERAL MEETING,21-AUG-18,-
LIBERTSHOE,Liberty Shoes Limited,10.00,102.49,209.42,4893992.9328621905,ANNUAL GENERAL MEETING,14-AUG-18,-
LICHSGFIN,LIC Housing Finance Limited,2.00,17064.17,565.23,301897811.5103586,ANNUAL GENERAL MEETING \/ DIVIDEND- RS 6.80 PER SHARE,09-AUG-18,-
LINCOLN,Lincoln Pharmaceuticals Limited,10.00,236.32,259.94,9091328.76817727,ANNUAL GENERAL MEETING\/DIVIDEND - RS 1.20 PER SHARE,21-SEP-17,-
LINCPEN,Linc Pen & Plastics Limited,10.00,126.86,334.22,3795703.428879181,ANNUAL GENERAL MEETING\/DIVIDEND RS 1.50 PER SHARE,03-SEP-18,-
LINDEINDIA,Linde India Limited,10.00,874.38,410.53,21298808.85684359,ANNUAL GENERAL MEETING\/ DIVIDEND - RE 1 PER SHARE,06-APR-18,-
LITL,Lanco Infratech Limited,1.00,92.58,0.68,1361470588.2352939,ANNUAL GENERAL MEETING,14-DEC-17,-
LOKESHMACH,Lokesh Machines Limited,10.00,45.40,54.98,8257548.199345217,ANNUAL GENERAL MEETING,20-SEP-17,-
LOTUSEYE,Lotus Eye Hospital and Institute Limited,10.00,22.21,25.91,8571979.930528754,ANNUAL GENERAL MEETING\/DIVIDEND - RE 0.50 PER SHARE,02-AUG-17,-
LOVABLE,Lovable Lingerie Limited,10.00,69.13,132.19,5229593.76654815,ANNUAL GENERAL MEETING,18-SEP-18,-
LPDC,Landmark Property Development Company Limited,1.00,16.67,3.63,45922865.01377411,ANNUAL GENERAL MEETING,20-SEP-17,-
LSIL,Lloyds Steels Industries Limited,1.00,25.60,0.94,272340425.53191495,ANNUAL GENERAL MEETING,31-JUL-18,-
LT,Larsen & Toubro Limited,2.00,163139.23,1323.69,1232457977.320974,ANNUAL GENERAL MEETING\/DIVIDEND- RS 16 PER SHARE,14-AUG-18,-
LTI,Larsen & Toubro Infotech Limited,1.00,5556.44,1900.63,29234727.43248291,ANNUAL GENERAL MEETING\/DIVIDEND RS 13.50 PER SHARE,14-AUG-18,-
LTTS,L&T; Technology Services Limited,2.00,2957.26,1577.14,18750776.722421598,ANNUAL GENERAL MEETING\/DIVIDEND RS 12\/- PER SHARE,13-AUG-18,-
LUMAXIND,Lumax Industries Limited,10.00,506.19,2178.58,2323485.940383185,DIVIDEND- RS 23 PER SHARE,09-JUL-18,-
LUMAXTECH,Lumax Auto Technologies Limited,2.00,634.88,209.26,30339290.83436873,ANNUAL GENERAL MEETING\/DIVIDEND- RS 2 PER SHARE (RATE UPDATED),09-AUG-18,-
LUPIN,Lupin Limited,2.00,21293.09,878.27,242443553.80463865,ANNUAL GENERAL MEETING\/DIVIDEND RS 5\/- PER SHARE,30-JUL-18,-
LUXIND,Lux Industries Limited,2.00,1185.06,1815.62,6527026.580451856,ANNUAL GENERAL MEETING\/DIVIDEND- RS 2.00 PER SHARE,18-SEP-18,-
LYCOS,Lycos Internet Limited,2.00,81.03,4.19,193389021.47971362,ANNUAL GENERAL MEETING,19-SEP-17,-
LYKALABS,Lyka Labs Limited,10.00,67.54,39.90,16927318.295739353,ANNUAL GENERAL MEETING,21-SEP-17,-
LYPSAGEMS,Lypsa Gems & Jewellery Limited,10.00,26.80,14.26,18793828.89200561,ANNUAL GENERAL MEETING,21-SEP-17,-
MAANALU,Maan Aluminium Limited,10.00,26.82,112.76,2378503.015253636,ANNUAL GENERAL MEETING,02-AUG-18,-
MADHAV,Madhav Marbles and Granites Limited,10.00,29.37,53.37,5503091.624508151,ANNUAL GENERAL MEETING\/DIVIDEND- RE 0.25 PER SHARE,02-AUG-18,-
MADHUCON,Madhucon Projects Limited,1.00,35.10,11.76,29846938.775510207,DIVIDEND - RE 0.10 PER SHARE,14-SEP-17,-
MADRASFERT,Madras Fertilizers Limited,10.00,62.95,26.37,23871824.042472504,ANNUAL GENERAL MEETING,14-SEP-17,-
MAGADSUGAR,Magadh Sugar & Energy Limited,10.00,30.93,79.62,3884702.3360964577,-,-,-
MAGMA,Magma Fincorp Limited,2.00,1873.59,144.99,129222015.31140077,DIVIDEND- RE 0.80 PER SHARE,25-JUL-18,-
MAGNUM,Magnum Ventures Limited,10.00,10.90,7.09,15373765.8674189,ANNUAL GENERAL MEETING,12-SEP-17,-
MAHABANK,Bank of Maharashtra,10.00,440.83,13.09,336768525.592055,ANNUAL GENERAL MEETING,13-JUN-18,-
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,10.00,87.55,152.97,5723344.446623521,ANNUAL GENERAL MEETING,21-SEP-17,-
MAHASTEEL,Mahamaya Steel Industries Limited,10.00,36.50,91.85,3973870.4409363098,ANNUAL GENERAL MEETING,03-AUG-18,-
MAHINDCIE,Mahindra CIE Automotive Limited,10.00,2505.34,253.83,98701493.1253201,ANNUAL GENERAL MEETING,11-APR-18,-
MAHLIFE,Mahindra Lifespace Developers Limited,10.00,1174.47,476.07,24670111.53821917,ANNUAL GENERAL MEETING\/DIVIDEND RS 6\/- PER SHARE,19-JUL-18,-
MAHLOG,Mahindra Logistics Limited,10.00,1202.87,564.43,21311234.34261113,DIVIDEND- RS 1.50 PER SHARE,25-JUL-18,-
MAHSCOOTER,Maharashtra Scooters Limited,10.00,1795.28,3191.35,5625456.3115922725,ANNUAL GENERAL MEETING\/DIVIDEND- RS 33 PER SHARE,05-JUL-18,-
MAHSEAMLES,Maharashtra Seamless Limited,5.00,1329.00,496.39,26773303.24946111,DIVIDEND - RS 5 PER SHARE,12-SEP-17,-
MAITHANALL,Maithan Alloys Limited,10.00,533.83,616.10,8664664.827138452,ANNUAL GENERAL MEETING\/DIVIDEND- RS 3 PER SHARE,23-AUG-18,-
MAJESCO,Majesco Limited,5.00,755.23,517.26,14600587.712175697,ANNUAL GENERAL MEETING,26-JUL-18,-
MALUPAPER,Malu Paper Mills Limited,10.00,24.64,48.83,5046078.230595945,ANNUAL GENERAL MEETING,11-SEP-18,-
MANAKALUCO,Manaksia Aluminium Company Limited,1.00,16.86,7.28,23159340.659340657,ANNUAL GENERAL MEETING,18-SEP-18,-
MANAKCOAT,Manaksia Coated Metals & Industries Limited,1.00,27.87,12.25,22751020.408163268,ANNUAL GENERAL MEETING,18-SEP-18,-
MANAKSIA,Manaksia Limited,2.00,106.06,48.28,21967688.48384424,ANNUAL GENERAL MEETING,18-SEP-18,-
MANAKSTEEL,Manaksia Steels Limited,1.00,59.06,25.81,22882603.64199923,ANNUAL GENERAL MEETING,18-SEP-18,-
MANALIPETC,Manali Petrochemicals Limited,5.00,395.43,41.80,94600478.46889953,ANNUAL GENERAL MEETING \/ DIVIDEND- RE 0.50 PER SHARE,27-JUL-18,-
MANAPPURAM,Manappuram Finance Limited,2.00,5638.05,102.18,551776277.1579565,INTERIM DIVIDEND- RE 0.55 PER SHARE,23-AUG-18,24-AUG-18
MANDHANA,Mandhana Industries Limited,10.00,6.75,4.68,14423076.923076922,ANNUAL GENERAL MEETING,12-SEP-17,-
MANGALAM,Mangalam Drugs And Organics Limited,10.00,64.80,85.94,7540144.286711659,ANNUAL GENERAL MEETING,17-SEP-18,-
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,10.00,171.85,58.49,29381090.784749527,ANNUAL GENERAL MEETING\/DIVIDEND- RE 1 PER SHARE,29-AUG-18,-
MANGLMCEM,Mangalam Cement Limited,10.00,446.79,259.51,17216677.584678818,ANNUAL GENERAL MEETING\/DIVIDEND- RE 0.50 PER SHARE,30-AUG-18,-
MANGTIMBER,Mangalam Timber Products Limited,10.00,24.54,21.84,11236263.736263737,ANNUAL GENERAL MEETING,14-SEP-17,-
MANINDS,Man Industries (India) Limited,5.00,277.38,111.46,24886057.778575275,ANNUAL GENERAL MEETING\/DIVIDEND - RS 1.50 PER SHARE,19-SEP-17,-
MANINFRA,Man Infraconstruction Limited,2.00,408.87,47.88,85394736.84210525,ANNUAL GENERAL MEETING,06-AUG-18,-
MANPASAND,Manpasand Beverages Limited,10.00,581.10,134.01,43362435.63913142,BONUS 1:1,27-SEP-17,28-SEP-17
MANUGRAPH,Manugraph India Limited,2.00,56.65,44.84,12633809.099018732,ANNUAL GENERAL MEETING\/DIVIDEND- RE 0.60 PER SHARE,20-JUL-18,-
MARALOVER,Maral Overseas Limited,10.00,31.03,29.66,10461901.550910318,ANNUAL GENERAL MEETING,11-SEP-18,-
MARATHON,Marathon Nextgen Realty Limited,5.00,135.01,164.21,8221789.172401193,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10\/- PER SHARE TO RS 5\/- PER SHARE,05-APR-18,06-APR-18
MARICO,Marico Limited,1.00,18709.79,361.59,517431068.3370669,INTERIM DIVIDEND - RS 2.50 PER SHARE (PURPOSE REVISED),16-FEB-18,20-FEB-18
MARKSANS,Marksans Pharma Limited,1.00,697.06,32.39,215208397.6535968,ANNUAL GENERAL MEETING\/DIVIDEND - RE 0.05 PER SHARE,19-SEP-17,-
MARUTI,Maruti Suzuki India Limited,5.00,121129.63,9096.63,133158796.16957052,DIVIDEND RS 80\/- PER SHARE,14-AUG-18,-
MASFIN,MAS Financial Services Limited,10.00,560.68,567.04,9887838.600451468,DIVIDEND- RS 2.16 PER SHARE,13-JUN-18,-
MASTEK,Mastek Limited,5.00,677.02,534.98,12655052.52532805,ANNUAL GENERAL MEETING\/DIVIDEND RS- 4 PER SHARE,11-JUL-18,-
MATRIMONY,Matrimony.Com Limited,5.00,311.92,575.47,5420265.174552974,DIVIDEND- RS 1.50 PER SHARE,02-AUG-18,03-AUG-18
MAWANASUG,Mawana Sugars Limited,10.00,48.11,41.77,11517835.767297102,ANNUAL GENERAL MEETING,09-AUG-18,-
MAXINDIA,Max India Limited,2.00,1441.15,92.14,156408725.8519644,ANNUAL GENERAL MEETING,18-SEP-17,-
MAXVIL,Max Ventures and Industries Limited,10.00,369.82,62.74,58944851.76920624,RIGHTS 67:66 @ PREMIUM RS 51\/-,21-JUN-18,22-JUN-18
MAYURUNIQ,Mayur Uniquoters Ltd,5.00,737.16,414.78,17772313.033415306,INTERIM DIVIDEND- RE 0.50 PER SHARE,28-AUG-18,29-AUG-18
MAZDA,Mazda Limited,10.00,77.16,349.52,2207598.9929045546,ANNUAL GENERAL MEETING\/DIVIDEND RS 8.10 PER SHARE,14-AUG-18,-
MBECL,Mcnally Bharat Engineering Company Limited,10.00,47.90,31.98,14978111.319574734,ANNUAL GENERAL MEETING,12-SEP-17,-
MBLINFRA,MBL Infrastructures Limited,10.00,53.15,20.23,26272862.086010873,ANNUAL GENERAL MEETING,02-NOV-17,-
MCDHOLDING,McDowell Holdings Limited,10.00,36.31,31.96,11361076.345431792,ANNUAL GENERAL MEETING,18-SEP-17,-
MCDOWELL-N,United Spirits Limited,2.00,17638.14,628.26,280745869.5444561,ANNUAL GENERAL MEETING,30-AUG-18,-
MCLEODRUSS,Mcleod Russel India Limited,5.00,857.93,130.28,65852778.63064169,ANNUAL GENERAL MEETING\/DIVIDEND- RE 0.50 PER SHARE,01-AUG-18,-
MCX,Multi Commodity Exchange of India Limited,10.00,4434.56,869.86,50980157.72653071,ANNUAL GENERAL MEETING\/DIVIDEND- RS 17 PER SHARE,23-AUG-18,-
MEGASOFT,Megasoft Limited,10.00,30.49,8.18,37273838.63080684,ANNUAL GENERAL MEETING,20-JUL-17,-
MEGH,Meghmani Organics Limited,1.00,1224.57,92.36,132586617.58336942,DIVIDEND RE 0.40 PER SHARE,19-JUL-18,-
MENONBE,Menon Bearings Limited,1.00,130.85,92.96,14075946.643717729,ANNUAL GENERAL MEETING\/DIVIDEND- RE 0.25 PER SHARE,12-JUL-18,-
MEP,MEP Infrastructure Developers Limited,10.00,360.84,56.43,63944710.26049973,ANNUAL GENERAL MEETING\/DIVIDEND- RE0.30 PER SHARE,25-JUL-18,-
MERCATOR,Mercator Limited,1.00,456.00,21.69,210235131.39695713,DIVIDEND - RE 0.05 PER SHARE,07-SEP-17,-
MERCK,Merck Limited,10.00,2357.64,2969.08,7940641.545529255,ANNUAL GENERAL MEETING\/ DIVIDEND - RS 15 PER SHARE,21-MAY-18,-
METALFORGE,Metalyst Forgings Limited,10.00,23.18,13.64,16994134.8973607,ANNUAL GENERAL MEETING,20-SEP-17,-
METKORE,Metkore Alloys & Industries Limited,2.00,4.31,1.75,24628571.428571425,ANNUAL GENERAL MEETING,30-AUG-17,-
MFSL,Max Financial Services Limited,2.00,9073.26,482.63,187996187.5556845,ANNUAL GENERAL MEETING,18-SEP-17,-
MGL,Mahanagar Gas Limited,10.00,2227.93,905.34,24608765.767556936,ANNUAL GENERAL MEETING\/DIVIDEND RS 11\/- PER SHARE,07-SEP-18,-
MHRIL,Mahindra Holidays & Resorts India Limited,10.00,1123.06,262.57,42771832.27329855,ANNUAL GENERAL MEETING \/ DIVIDEND- RS 4 PER SHARE,25-JUL-18,-
MIC,MIC Electronics Limited,2.00,37.69,2.92,129075342.46575342,ANNUAL GENERAL MEETING,22-SEP-17,-
MIDHANI,Mishra Dhatu Nigam Limited,10.00,702.86,146.51,47973517.16606375,-,-,-
MINDACORP,Minda Corporation Limited,2.00,936.68,158.72,59014616.93548387,DIVIDEND- RS 0.35 PER SHARE,19-JUL-18,-
MINDAIND,Minda Industries Limited,2.00,3080.96,409.42,75251819.64730594,ANNUAL GENERAL MEETING,31-JUL-18,-
MINDTECK,Mindteck (India) Limited,10.00,43.90,52.44,8371472.158657514,ANNUA GENERAL MEETING\/DIVIDEND-RE 1\/- PER SHARE,03-AUG-17,-
MINDTREE,MindTree Limited,10.00,11228.10,1043.73,107576672.12784916,ANNUAL GENERAL MEETING\/DIVIDEND- RS 3 PER SHARE,09-JUL-18,-
MIRCELECTR,MIRC Electronics Limited,1.00,239.04,28.91,82684192.3209962,ANNUAL GENERAL MEETING,14-AUG-18,-
MIRZAINT,Mirza International Limited,2.00,315.61,101.27,31165201.935420167,DIVIDEND - RE 0.90 PER SHARE,20-SEP-17,-
MMFL,MM Forgings Limited,10.00,646.51,622.39,10387538.360192163,BONUS 1:1,18-JUL-18,19-JUL-18
MMTC,MMTC Limited,1.00,488.25,32.67,149449035.81267217,BONUS 1:2,03-MAY-18,04-MAY-18
MOHITIND,Mohit Industries Limited,10.00,3.55,11.46,3097731.2390924953,ANNUAL GENERAL MEETING,19-SEP-18,-
MOHOTAIND,Mohota Industries Limited,10.00,73.53,107.24,6856583.364416263,ANNUAL GENERAL MEETING\/DIVIDEND - RE 0.10 PER SHARE,18-SEP-17,-
MOIL,MOIL Limited,10.00,1528.39,174.62,87526629.25209025,INTERIM DIVIDEND - RS 3 PER SHARE (PURPOSE REVISED),16-FEB-18,20-FEB-18
MOLDTECH,Mold-Tek Technologies Limited,2.00,57.88,48.09,12035766.27157413,INTERIM DIVIDEND - RE 0.30 PER SHARE (PURPOSE REVISED),21-MAY-18,22-MAY-18
MOLDTKPAC,Mold-Tek Packaging Limited,5.00,529.81,298.80,17731258.36680053,INTERIM DIVIDEND- RS 2 PER SHARE (PURPOSE REVISED),21-MAY-18,22-MAY-18
MONNETISPA,Monnet Ispat and Energy Limited,10.00,234.15,15.55,150578778.1350482,ANNUAL GENERAL MEETING,19-SEP-17,-
MONSANTO,Monsanto India Limited,10.00,1396.93,2892.17,4830041.1109997,ANNUAL GENERAL MEETING \/ DIVIDEND- RS 15 PER SHARE,06-AUG-18,-
MONTECARLO,Monte Carlo Fashions Limited,10.00,330.03,434.78,7590735.544413267,ANNUAL GENERAL MEETING\/DIVIDEND - RS 10 PER SHARE,21-SEP-17,-
MORARJEE,Morarjee Textiles Limited,7.00,35.25,26.90,13104089.219330857,ANNUAL GENERAL MEETING,19-JUL-18,-
MOREPENLAB,Morepen Laboratories Limited,2.00,854.52,29.24,292243502.0519836,ANNUAL GENERAL MEETING,14-SEP-17,-
MOSERBAER,Moser-Baer (I) Limited,10.00,30.09,2.30,130826086.95652175,ANNUAL GENERAL MEETING,20-SEP-17,-
MOTHERSUMI,Motherson Sumi Systems Limited,1.00,24940.31,314.91,791982153.6311961,ANNUAL GENERAL MEETING\/DIVIDEND- RS 2.25 PER SHARE,08-AUG-18,-
MOTILALOFS,Motilal Oswal Financial Services Limited,1.00,3068.09,857.14,35794502.64834216,INTERIM DIVIDEND - RS 4 PER SHARE,05-FEB-18,06-FEB-18
MOTOGENFIN,The Motor & General Finance Limited,10.00,31.02,44.54,6964526.268522676,ANNUAL GENERAL MEETING,18-SEP-18,-
MPHASIS,MphasiS Limited,10.00,9258.74,1196.74,77366345.23789628,ANNUAL GENERAL MEETING \/ DIVIDEND- RS 20 PER SHARE,26-JUL-18,-
MPSLTD,MPS Limited,10.00,313.09,531.72,5888249.454600166,ANNUAL GENERAL MEETING\/DIVIDEND- RS 12 PER SHARE (PURPOSE REVISED),23-JUL-18,-
MRF,MRF Limited,10.00,18009.76,74704.89,2410787.299198218,ANNUAL GENERAL MEETING\/DIVIDEND- RS 54 PER SHARE,01-AUG-18,-
MRO-TEK,MRO-TEK Realty Limited,5.00,34.17,30.91,11054674.862504045,ANNUAL GENERAL MEETING,14-AUG-18,-
MRPL,Mangalore Refinery and Petrochemicals Limited,10.00,1569.28,81.50,192549693.25153375,DIVIDEND RS 3\/- PER SHARE,28-JUN-18,-
MSPL,MSP Steel & Power Limited,10.00,132.74,14.64,90669398.90710384,ANNUAL GENERAL MEETING,13-SEP-17,-
MTEDUCARE,MT Educare Limited,10.00,105.53,54.03,19531741.625023134,ANNUAL GENERAL MEETING,29-AUG-17,-
MTNL,Mahanagar Telephone Nigam Limited,10.00,417.19,15.10,276284768.2119205,ANNUAL GENERAL MEETING,19-SEP-17,-
MUKANDENGG,Mukand Engineers Limited,10.00,16.05,28.38,5655391.1205074005,ANNUAL GENERAL MEETING,02-AUG-18,-
MUKANDLTD,Mukand Limited,10.00,226.60,59.70,37956448.91122278,ANNUAL GENERAL MEETING,02-AUG-18,-
MUKTAARTS,Mukta Arts Limited,5.00,37.84,57.55,6575152.0417028675,ANNUAL GENERAL MEETING,20-AUG-18,-
MUNJALAU,Munjal Auto Industries Limited,2.00,157.63,63.30,24902053.71248025,ANNUAL GENERAL MEETING\/DIVIDEND- RS 1.20 PER SHARE,14-AUG-18,-
MUNJALSHOW,Munjal Showa Limited,2.00,303.17,216.60,13996768.236380426,ANNUAL GENERAL MEETING\/DIVIDEND - RS 4\/- PER SHARE,10-AUG-17,-
MURUDCERA,Murudeshwar Ceramics Limited,10.00,52.44,32.69,16041602.936677884,ANNUAL GENERAL MEETING,14-SEP-17,-
MUTHOOTCAP,Muthoot Capital Services Limited,10.00,619.79,1026.39,6038542.8540808065,BONUS 1:10,12-JUN-17,13-JUN-17
MUTHOOTFIN,Muthoot Finance Limited,10.00,4225.45,401.54,105231110.2256313,INTERIM DIVIDEND RS 10\/- PER SHARE (PURPOSE REVISED),15-FEB-18,19-FEB-18
MVL,MVL Limited,1.00,6.61,0.26,254230769.23076925,EXTRA-ORDINARY GENERAL MEETING,09-MAY-18,-
NACLIND,NACL Industries Limited,1.00,140.48,36.15,38860304.28769018,DIVIDEND- RE 0.125 PER SHARE,02-AUG-18,-
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,1.00,277.71,12.60,220404761.9047619,ANNUAL GENERAL MEETING,19-SEP-18,-
NAGAROIL,Nagarjuna Oil Refinery Limited,1.00,33.21,1.65,201272727.27272728,ANNUAL GENERAL MEETING,19-SEP-18,-
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,5.00,7.02,17.75,3954929.5774647887,ANNUAL GENERAL MEETING,07-SEP-17,-
NAGREEKEXP,Nagreeka Exports Limited,5.00,10.21,26.56,3844126.506024097,ANNUAL GENERAL MEETING,11-SEP-18,-
NAHARCAP,Nahar Capital and Financial Services Limited,5.00,62.77,124.44,5044198.007071682,DIVIDEND - RS 1.50 PER SHARE,31-AUG-17,-
NAHARINDUS,Nahar Industrial Enterprises Limited,10.00,81.32,66.10,12302571.860816944,DIVIDEND - RE 1\/- PER SHARE,07-SEP-17,-
NAHARPOLY,Nahar Poly Films Limited,5.00,34.26,46.69,7337759.69158278,DIVIDEND - RE 0.50 PER SHARE,31-AUG-17,-
NAHARSPING,Nahar Spinning Mills Limited,5.00,120.93,96.91,12478588.380972037,DIVIDEND - RS 1.50 PER SHARE,31-AUG-17,-
NATCOPHARM,Natco Pharma Limited,2.00,6868.27,762.07,90126497.56584041,ANNUAL GENERAL MEETING,10-SEP-18,-
NATHBIOGEN,Nath Bio-Genes (India) Limited,10.00,542.40,483.96,11207537.8130424,ANNUAL GENERAL MEETING,26-JUL-18,-
NATIONALUM,National Aluminium Company Limited,5.00,5605.49,72.55,772638180.5651275,ANNUAL GENERAL MEETING\/DIVIDEND- RE 1 PER SHARE,23-AUG-18,-
NATNLSTEEL,National Steel And Agro Industries Limited,10.00,34.16,14.98,22803738.317757007,ANNUAL GENERAL MEETING \/INTERIM DIVIDEND - RE 0.50 PER SHARE,12-SEP-17,-
NAUKRI,Info Edge (India) Limited,10.00,10345.76,1495.69,69170483.18836123,ANNUAL GENERAL MEETING\/DIVIDEND- RS 1.5 PER SHARE,16-JUL-18,-
NAVINFLUOR,Navin Fluorine International Limited,2.00,2255.80,666.41,33850032.262421034,FINAL DIVIDEND- RS 3.60 PER SHARE\/ SPECIAL DIVIDEND- RS 3 PER SHARE,13-JUL-18,-
NAVKARCORP,Navkar Corporation Limited,10.00,573.23,123.06,46581342.43458476,ANNUAL GENERAL MEETING,14-AUG-17,-
NAVNETEDUL,Navneet Education Limited,2.00,1120.94,126.26,88780294.63012831,ANNUAL GENERAL MEETING\/DIVIDEND- RS 1.50 PER SHARE,13-JUL-18,-
NBCC,NBCC (India) Limited,1.00,3474.90,74.28,467810985.46042,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 2\/- PER SHARE TO RE 1\/- PER SHARE,25-APR-18,26-APR-18
NBIFIN,N. B. I. Industrial Finance Company Limited,5.00,150.62,1536.87,980043.8553683787,ANNUAL GENERAL MEETING,06-SEP-18,-
NBVENTURES,Nava Bharat Ventures Limited,2.00,1099.90,126.30,87086302.4544735,ANNUAL GENERAL MEETING\/DIVIDEND RS 1.50\/- PER SHARE,30-JUL-18,-
NCC,NCC Limited,2.00,4908.06,99.96,491002400.9603842,DIVIDEND- RE 1 PER SHARE,30-JUL-18,-
NCLIND,NCL Industries Limited,10.00,470.06,173.39,27109983.27469866,ANNUAL GENERAL MEETING\/DIVIDEND RS 1.50 PER SHARE,17-SEP-18,-
NDGL,Naga Dhunseri Group Limited,10.00,26.00,1002.14,259444.78815335184,ANNUAL GENERAL MEETING\/DIVIDEND- RS 2.50 PER SHARE,01-AUG-18,-
NDL,Nandan Denim Limited,10.00,129.73,74.95,17308872.581721146,ANNUAL GENERAL MEETING\/DIVIDEND-RS 1.60 PER SHARE,21-SEP-17,-
NDTV,New Delhi Television Limited,4.00,94.67,36.99,25593403.6226007,ANNUAL GENERAL MEETING,05-SEP-17,-
NECCLTD,North Eastern Carrying Corporation Limited,10.00,15.12,12.06,12537313.43283582,ANNUAL GENERAL MEETING,20-SEP-17,-
NECLIFE,Nectar Lifesciences Limited,1.00,230.90,23.45,98464818.76332623,ANNUAL GENERAL MEETING\/DIVIDEND- RE 0.05 PER SHARE,19-SEP-18,-
