,2024-03-31,2023-12-31,2023-09-30
AdjustmentsForImpairmentLossReversalOfImpairmentLossRecognisedInProfitOrLoss,30074410000.00,,20958800000.00
AdjustmentsForUnrealisedForeignExchangeLossesGains,0.00,,0.00
AdjustmentsForDividendIncome,0.00,,0.00
AdjustmentsForSharebasedPayments,0.00,,0.00
OtherAdjustmentsForWhichCashEffectsAreInvestingOrFinancingCashFlow,16172040000.00,,5440800000.00
OtherAdjustmentsToReconcileProfitLoss,-7503700000.00,,-2465700000.00
OtherAdjustmentsForNoncashItems,6884990000.00,,3482400000.00
ShareOfProfitAndLossFromPartnershipFirmOrAssociationOfPersonsOrLimitedLiabilityPartnerships,0.00,,0.00
AdjustmentsToProfitLoss,65586600000.00,,34596600000.00
AdjustmentsForDecreaseIncreaseInInventories,0.00,,0.00
AdjustmentsForDecreaseIncreaseInTradeReceivables,0.00,,0.00
AdjustmentsForDecreaseIncreaseInOtherCurrentAssets,-1596472700000.00,,-1616432000000.00
AdjustmentsForIncreaseDecreaseInTradePayables,0.00,,0.00
AdjustmentsForIncreaseDecreaseInOtherCurrentLiabilities,2329930110000.00,,1144204700000.00
AdjustmentsForProvisions,302893170000.00,,199413800000.00
AdjustmentsForWorkingCapital,1036350580000.00,,-272813500000.00
AdjustmentsForReconcileProfitLoss,1101937180000.00,,-238216900000.00
CashFlowsFromUsedInOperations,1706280780000.00,,53171700000.00
DividendsReceivedClassifiedAsOperatingActivities,0.00,,0.00
InterestPaidClassifiedAsOperatingActivities,0.00,,0.00
InterestReceivedClassifiedAsOperatingActivities,0.00,,0.00
IncomeTaxesPaidRefundClassifiedAsOperatingActivities,133436050000.00,,51145000000.00
OtherInflowsOutflowsOfCashClassifiedAsOperatingActivities,0.00,,0.00
CashFlowsFromUsedInOperatingActivitiesBeforeExtraordinaryItems,1572844730000.00,,2026700000.00
ProceedsFromExtraordinaryItemsClassifiedAsOperatingActivities,0.00,,0.00
PaymentForExtraordinaryItemsClassifiedAsOperatingActivities,0.00,,0.00
CashFlowsFromUsedInOperatingActivities,1572844730000.00,,2026700000.00
CashFlowsFromLosingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,0.00,,0.00
CashFlowsUsedInObtainingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,0.00,,0.00
OtherCashReceiptsFromSalesOfEquityOrDebtInstrumentsOfOtherEntitiesClassifiedAsInvestingActivities,0.00,,0.00
OtherCashPaymentsToAcquireEquityOrDebtInstrumentsOfOtherEntitiesClassifiedAsInvestingActivities,1423224400000.00,,16240000000.00
OtherCashReceiptsFromSalesOfInterestsInJointVenturesClassifiedAsInvestingActivities,0.00,,0.00
OtherCashPaymentsToAcquireInterestsInJointVenturesClassifiedAsInvestingActivities,0.00,,0.00
CashReceiptsFromShareOfProfitsOfPartnershipFirmOrAssociationOfPersonsOrLimitedLiabilityPartnerships,0.00,,0.00
CashPaymentForInvestmentInPartnershipFirmOrAssociationOfPersonsOrLimitedLiabilityPartnerships,0.00,,0.00
ProceedsFromSalesOfTangibleAssetsClassifiedAsInvestingActivities,-36086510000.00,,-18476600000.00
PurchaseOfTangibleAssetsClassifiedAsInvestingActivities,0.00,,0.00
ProceedsFromSalesOfIntangibleAssetsClassifiedAsInvestingActivities,0.00,,0.00
PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,0.00,,0.00
CashAdvancesAndLoansMadeToOtherPartiesClassifiedAsInvestingActivities,0.00,,0.00
CashReceiptsFromRepaymentOfAdvancesAndLoansMadeToOtherPartiesClassifiedAsInvestingActivities,0.00,,0.00
CashPaymentsForFutureContractsForwardContractsOptionContractsAndSwapContractsClassifiedAsInvestingActivities,0.00,,0.00
CashReceiptsFromFutureContractsForwardContractsOptionContractsAndSwapContractsClassifiedAsInvestingActivities,0.00,,0.00
DividendsReceivedClassifiedAsInvestingActivities,0.00,,0.00
InterestReceivedClassifiedAsInvestingActivities,0.00,,0.00
IncomeTaxesPaidRefundClassifiedAsInvestingActivities,0.00,,0.00
OtherInflowsOutflowsOfCashClassifiedAsInvestingActivities,0.00,,0.00
ProceedsFromGovernmentGrantsClassifiedAsInvestingActivities,0.00,,0.00
CashFlowsFromUsedInInvestingActivitiesBeforeExtraordinaryItems,-1459310910000.00,,-34716600000.00
ProceedsFromExtraordinaryItemsClassifiedAsInvestingActivities,0.00,,0.00
PaymentForExtraordinaryItemsClassifiedAsInvestingActivities,0.00,,0.00
CashFlowsFromUsedInInvestingActivities,-1459310910000.00,,-34716600000.00
ProceedsFromIssuingShares,11708680000.00,,6249100000.00
ProceedsFromIssuingOtherEquityInstruments,0.00,,0.00
ProceedsFromIssuingDebenturesNotesBondsEtc,0.00,,0.00
ProceedsFromBorrowingsClassifiedAsFinancingActivities,391968190000.00,,132173200000.00
RepaymentsOfBorrowingsClassifiedAsFinancingActivities,210045770000.00,,124034000000.00
DividendsPaidClassifiedAsFinancingActivities,55985960000.00,,55986000000.00
InterestPaidClassifiedAsFinancingActivities,0.00,,0.00
IncomeTaxesPaidRefundClassifiedAsFinancingActivities,0.00,,0.00
OtherInflowsOutflowsOfCashClassifiedAsFinancingActivities,0.00,,0.00
CashFlowsFromUsedInFinancingActivitiesBeforeExtraordinaryItems,137645140000.00,,-41597700000.00
ProceedsFromExtraordinaryItemsClassifiedAsFinancingActivities,0.00,,0.00
PaymentForExtraordinaryItemsClassifiedAsFinancingActivities,0.00,,0.00
CashFlowsFromUsedInFinancingActivities,137645140000.00,,-41597700000.00
IncreaseDecreaseInCashAndCashEquivalentsBeforeEffectOfExchangeRateChanges,251178960000.00,,-74287600000.00
EffectOfExchangeRateChangesOnCashAndCashEquivalents,4234440000.00,,742200000.00
IncreaseDecreaseInCashAndCashEquivalents,255413400000.00,,-73545400000.00
CashAndCashEquivalentsCashFlowStatement,1627689030000.00,,1291019500000.00
